Italian_Word,English_Translation,Type,Category,Difficulty_Level
Ciao,Hello,Word,Basic Phrases,Beginner
Buongiorno,Good morning,Phrase,Basic Phrases,Intermediate
Buonasera,Good evening,Phrase,Basic Phrases,Intermediate
Buonanotte,Good night,Phrase,Basic Phrases,Intermediate
Salve,Hi,Word,Basic Phrases,Beginner
Arrivederci,Goodbye,Word,Basic Phrases,Beginner
A presto,See you soon,Phrase,Basic Phrases,Intermediate
Ci vediamo,See you,Phrase,Basic Phrases,Intermediate
Piacere,Nice to meet you,Phrase,Basic Phrases,Intermediate
Benvenuto,Welcome,Word,Basic Phrases,Beginner
Salutare,Greet,Word,Basic Phrases,Intermediate
Presentarsi,Introduce oneself,Phrase,Basic Phrases,Intermediate
Saluti,Cheers,Word,Basic Phrases,Intermediate
Bentornato,Welcome back,Phrase,Basic Phrases,Intermediate
Auguri,Best wishes,Word,Basic Phrases,Intermediate
Felicita,Happiness,Word,Basic Phrases,Intermediate
In bocca al lupo,Good luck,Phrase,Basic Phrases,Intermediate
Fortunato,Lucky,Word,Basic Phrases,Intermediate
Invitare,Invite,Word,Basic Phrases,Intermediate
Ringraziare,To Thank,Word,Basic Phrases,Intermediate
Grazie,Thank you,Phrase,Basic Phrases,Intermediate
Prego,You're welcome,Phrase,Basic Phrases,Intermediate
Scusarsi,Apologize,Word,Basic Phrases,Intermediate
Mi dispiace,I'm sorry,Phrase,Basic Phrases,Intermediate
Congratulazioni,Congratulations,Word,Basic Phrases,Intermediate
Complimenti,Compliments,Word,Basic Phrases,Intermediate
Phrase,Mi chiamo Luca,My name is Luca,Basic Phrases,Beginner
Baci,Kisses,Word,Basic Phrases,Intermediate
Abbracci,Hugs,Word,Basic Phrases,Intermediate
Sorridere,Smile,Word,Basic Phrases,Intermediate
Ridere,Laugh,Word,Basic Phrases,Intermediate
Sorriso,Smile,Word,Basic Phrases,Intermediate
Simpatico,Nice,Word,Basic Phrases,Intermediate
Gentile,Kind,Word,Basic Phrases,Intermediate
Amichevole,Friendly,Word,Basic Phrases,Intermediate
